"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT11"
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-13",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-14",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-15",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-16",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-17",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-18",,,"2.13",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-19",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-25",,,"0.36",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-26",,,"0.76",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-07-28",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-01",,,"0.30",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-05",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-20",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-21",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-22",,,"2.07",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-23",,,"0.01",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-24",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-25",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-26",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-27",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-28",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-29",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-30",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-08-31",,,"0.03",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-03",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-04",,,"0.00",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-05",,,"0.49",,,,,,,,,
"US1DCDC0009","WASHINGTON 2.0 SSW, DC US","2018-09-06",,,"0.00",,,,,,,,,
